"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CODE RELEVE","COMMENTAIRE","BLOC NOTE","COMMLITIGEPIDI"
"IQLFTH","299779866","22836681","","","","",""
"IQLFTH","299777982","22836685","","","","",""
"IQPFTH","223077785","22769558","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon ok/DAE OK/","","\"
"IQLFTH","223302204","22769562","","DMS","/DMS/#PTO_non existante#/DAE OK/","","\"
"IQLFTH","299778716","22836691","","","","",""
"IQLFTH","223281131","22836720","","","","",""
"IQLFTH","299778743","22836729","","","","",""
"IQPFTH","297051868","22769642","","DMS","/DMS/#PTO_non existante#/Raccordement OK  50 m aerien. Le client a la prise optique la o il la souhaite./DAE OK/","","\"
"IQCFTH","298250802","22769677","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp d tecte /DAE KO/Robot HS","","\"
"IQPFTH","223371175","22769779","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon en souterrain OK Bug crioc photos en pi ces jointes ok/DAE OK/","","\"
"IQPFTH","297085210","22836912","","","","",""
"IQPFTH","296506377","22769800","","DMS","/DMS/#PTO_non existante#/Creation route optique sur PB 999335 tube rouge fibre bleue N*A657484 + pose jrtor a la PM 80m c cble fibre optique Pose pto delc ok mise en service /DAE OK/","","\"
"IQPFTH","298479639","22769804","","DMS","/DMS/#PTO_non existante#/Pose pto tirage de 200 metre de c cble fo jartiaire au pm debit ok ONT ok /DAE OK/","","\\$GM$ Obtenue client le 02/05  pour reprise de rdv pour le 10/05    a partir de 13H   $APAF$ \"
"IQPFTH","297051869","22769846","","DMS","/DMS/#PTO_non existante#/RACC AERIEN OK RAS /DAE OKcar beug il na y a aucun probleme chez le client/Tout est ok chez le client","","\\$GM$ client obtenu par le tech le 26/04/2023  RDV confirme le 27/04/2023 a partir de 17h ke \"
"IQPFTH","297050456","22702736","","DMS","/DMS/#PTO_non existante#/Raccordement aerien 150m ok box ok ras /DAE OK/","","\\$GM$ client obtenu le 22/04  rdv confirme le 28/04 a partir de  8H ke \"
"IQPFTH","223443799","22702737","","TVC","Obtenu clt au 0675627867 le 10/05  le clt va annuler la demande de fibre car le proprietaire ne veut pas realiser les travaux $APAN$ $GM$ CP Laisse mevo le 27/04 pour reprendre nouveau RDV des TVC fini $APSM$ /GEM//Le client va degager le regard t","","\\Obtenu clt le 25/04  a   rdv repris pour le 27/04  a partir de 10h $APle$ \$GM$ CP Laisse mevo le 27/04  pour reprendre nouveau RDV des TVC fini  $APSM$ /GEM/#LITIGE: DR-Probleme de Regard#/Le client va degager le regard t  l  phone /DAE NA/Non   ligible au DAE\\"
"IQPFTH","223443902","22702760","","ANN","/ANN-CLI//ANN//Fausse manipulation du client  le client a effectue deux fous la commande /DAE NA/Non ligible au DAE","","\\$GM$ LO a reprendre Obtenu clt le 25/04  a   rdv repris pour le 27/04  a partir de 10h $APle$ \\"
"IQPFTH","296142623","22769905","","DMS","/DMS/#PTO_non existante#/Raccordement aerien  150 m de cables  le client  la prise optique la o il la souhaite/DAE OK/","","\"
"IQPFTH","296506496","22769908","","DMS","/DMS/#PTO_non existante#/Pose jrtor a la PM 80m c cble fibre optique Pose pto delc ok mise en service /DAE OK/","","\"
"IQPFTH","296943823","22837040","","","","",""
"IQPFTH","298753932","22702791","","DMS","/DMS/#PTO_non existante#/DAE OK/ Technicien issam intervention aerienne CLEINT ok ont ok","","\"
"IQPFTH","296143701","22769933","","DMS","/DMS/#PTO_non existante#/Raccordement soutterain fa ? ade  200 m de cables c ? ?le client  la prise optique  GASPARD BUG la o ? il la souhaite code decharge mutation A661178 /DAE OK/","","\"
"IQPFTH","296943826","22837083","","","","",""
"IQPFTH","297679885","22769955","","DMS","/DMS/#PTO_non existante#/Raccordement pavillon ok. Passage de c cble en aerien 70m de cable. Pto installer dans le garage a la demande du client. Valeur PM-18 Valeur PTO-19. Test delce ok . Ras/DAE OK/","","\"
"IQPFTH","296944912","22837092","","","","",""
"IQPFTH","297441312","22837104","","","","",""
"IQPFTH","296734864","22769995","","DMS","/DMS/#PTO_non existante#/Mute sur PB 779 Tube rouge Fibre rouge  Porte droite tete 2/H7 #divergence (donne en L2) Decharge : J825270 Pose PTO Tire 100m de 1fo pavillon a rien /DAE OK/","","\\$GM$ LO rdv pris par ccoi le 06/05 a 09h $apaf$ \"
"IQPFTH","299558613","22770026","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon ok passage de c cble en fa ade ok /DAE OK/","","\"
"IQPFTH","298936958","22770046","","DMS","/DMS/#PTO_non existante#/Installation complete realiser en a rien Passage vu et valider par le client /DAE OK/","","\"
"IQCFTH","299006298","22837177","","","","",""
"IQPFTH","298193832","22770082","","DMS","/DMS/#PTO_non existante#/Racc aerien 120m tout service ok pto installer a l emplacement souhaite du client client satisfait /DAE OK/","","\"
"IQPFTH","296142860","22770150","","DMS","/DMS/#PTO_non existante#/Maison individuelle c cble aerien 110 m 1 FO pmz OK/DAE OK/","","\"
"IQPFTH","299559703","22770167","","DMS","/DMS/#PTO_non existante#/Anas ok passage de la fibre en souterrain ok ont ok /DAE OK/","","\"
"IQPFTH","296613031","22770171","","DMS","/DMS/#PTO_non existante#/C cble passer en aerien Jr poser dans pm test OK pto installer a la demande du client /DAE OK/","","\\Reprise rdv pour mercredi 8h manque de temps \"
"IQPFTH","223372036","22770180","","DMS","$XXXXXX@XXX.XX$ Touret 60 m pto bureau internet ok /DMS/#PTO_non existante#/DAE OK/","","\"
"IQLFTH","299776738","22770187","","DMS","/DMS/#PTO_non existante#/Passage de c cble box ok Ts2f1a5218e6/DAE OK/","","\"
"IQPFTH","296610215","22770196","","DMS","/DMS/#PTO_non existante#/passage c cble en fa ade pose prises pto brassage pm test ok /DAE OK/","","\\$GM$ clt obtenu le 05/05 pour reprise de rdv le 08/05 a partir de 08h clt dispo que la matine \"
"IQLFTH","297891829","22770200","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cheminement#-/Apcp ok plp pb00645 tube rouge fibre jaune pm00275 porte droite t  te2 f10 J758724/DAE OK/","#ContactClient 0647409822 #ContactClient 0647409822#ContactClient 0647409822#ContactClient 0647409822 ","\\$GM$RV\\Obtenu clt au  0297591857  le 21/04 repris rdv le 25/04 a  partir 10h00 $APEP$\/GEM/#LITIGE: AB-Client absent#/Aucune information sur le ot pas de numero de t  l  phone /DAE NA/Non   ligible au DAE\$GM$ RV Obtenu client le 26/04 a 14h40 sur le 0297591857. Rdv repris pour le 02/05 a partir de 10h. $APSP$\"
"IQPFTH","298167785","22770201","","DMS","/DMS/#PTO_non existante#/Installation complete realiser en a rien.passage vu et valider par le client /DAE JU/test lancer pendant miser a jour","","\"
"IQPFTH","296610319","22770243","","DMS","/DMS/#PTO_non existante#/Pose PTO Tire 100m de 1fo pavillon a rien /DAE ERROR/","","\\$gm$obtenu client sur son tel le 24/04 rdv repris le 02/05 10/12h\"
"IQPFTH","298479512","22703122","","TVC","Apres plusieurs relances pas de retour client doit recontacter son OPT $APMB$ $GM$ CP Laisse mevo pour reprendre nouveau RDV des TVC fini $APAB$ Tvc car besoin de poser une gaine entre pignon et l emplacement souhaite de la livebox","","\\$GM$ CP Laisse mevo pour reprendre nouveau RDV des TVC fini $APAB$  Tvc car besoin de poser une gaine entre pignon et l'emplacement souhaite de la livebox \\"
"IQPFTH","297052952","22770259","","DMS","/DMS/#PTO_non existante#/Raccordement aerien  300 m de cables. Le client a la prise optique la o il la souhaite./DAE OK/","","\"
"IQPFTH","299185221","22703143","","DMS","/DMS/#PTO_non existante#/Pose kit 50 en aerien +pose pto +installer les quipements a la demande du client delc ok /DAE OK/","","\"
"IQCFTH","299557094","22837408","","","","",""
"IQPFTH","298535280","22770302","","RMC","Hors delais. Le client contacte son opt. $APSP$","","\\Client vue se matin mais devais degager sont arrivees ADSL sous la dalle dans le garage m a rappele a 16h45 travaux fais \$GM$V RDV REPRIS AVEC MR LE 10/05 ENTRE 8H ET 11H\"
"IQPFTH","299740083","22770305","","DMS","/DMS/#PTO_non existante#/Racc aerien ok 2 poteaux Tout est ok 70 m/DAE OK/","","\\$GM$ clt injoignable   msg laisse pour reprise de rdv     HA*  \Manque de temps le technicien a eu une intervention tres complete 450m de cable 15porte rdv repris avec le client mardi 2 mai a 8h \"
"IQSFTH","299019734","22770319","","ORT","/ORT//La PM communiquer na??est pas la bonne aupres da??orange.. code d charge AF070FP/DAE NA/Non ligible au DAE","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ Besoin de configurer la box\$GM$ RV Rendez-vous repris avec le client \\"
"IQPFTH","296253792","22770320","","RMF","Suite a plusieurs relances aucun retour de la part du clt  laisse mevo le 29/04 clt doit recontacter son operateur $APIL$ $GM$ LO a reprendre Laisse MEVO au 27/04 pour reprendre nouveau RDV $APle$ /GEM//Intervention en aerien n cessitant une nacelle. Rdv a reprogrammer /DAE ERROR/","","\\$GM$C LO / rdv pris par ccoi le 26/04 a partir de 13h $apaf$ \$GM$ LO a reprendre Laisse MEVO au  27/04  pour reprendre nouveau RDV $APle$  /GEM/#LITIGE: MC-Besoin nacelle#/Intervention en aerien n  cessitant une nacelle. Rdv a reprogrammer /DAE ERROR/\"
"IQPFTH","298170706","22770332","","DMS","/DMS/#PTO_non existante#/Racc aerien ok 2 poteaux Tout est ok Pto salon /DAE OK/","","\"
"IQPFTH","298099731","22770349","","ORT"," Pas la bonne Pm d apres la GTC / impossible de faire la mutation code decharge AF071IP","","\\$GM$  INTERVENTION EN COURS\$gm$ lo / rdv pris par ccoi le 27/04 a 14h $apaf$ \$GM$ INTERVENTION EN COURS\\"
"IQPFTH","296944915","22837505","","","","",""
"IQSFTH","223468917","22770388","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/$germain.le-floch@orange.fr$ La PTO FI-0277-1491 a bien t reprise au PB 1062  elle correpond a la fibre JAU du tube VER Tiret 1.Le num ro de d charge est : J778511.mutatoin pectule FT 5 code d  charge J779947/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ Le tech a repris rdv avec le client pour le 03/05 a partir de 08H $APAF$  Manque de temps  rdv repris pour mercredi 03 a 8h.\"
"IQPFTH","298755691","22703267","","TVC","Apres plusieurs relances pas de retour client doit recontacter son OPT $APMB$ $GM$ CP Envoye sms pour reprendre nouveau RDV des TVC fini $APAB$ /GEM//gaine bouchee entre le poteau et la maison le client va poser une nouvelle gaine /DAE","","\\$GM$ AB Laisse MEVO au   0620035907 le  31/03   a   pour reprendre nouveau RDV $APAB$ GEM/#LITIGE: AB-Client absent#/client injoignable et absent a 13h client    etait rappel   vers 16h il dit qu'il est toujours au boulot /DAE NA/Non   ligible au DAE\$GM$ RV Obtenu client  au  0620035907  le 03/04 a 16h34  repris RDV le 07/04 de 14h a 18h / $APCC$\$GM$ CP Envoye sms pour reprendre nouveau RDV des TVC fini $APAB$  /GEM/#LITIGE: CP-Travaux sur conduite privative#/gaine bouchee entre le poteau et la maison le client va poser une nouvelle gaine /DAE NA/Non   ligible au DAE\\"
"IQPFTH","298420723","22770419","","RMF","Apres plusieurs relances pas de retour de la part du clt laisse mevo informent que doit contacter son operateur $APEP$ /GEM/#Litige: RF - Rendez-vous non honore Orange#/Manque de temps  client ne r pond pas pour reprise rdv/DAE NA/Non ligible au DAE","","\\/GEM/#Litige: RF - Rendez-vous non honore Orange#/Manque de temps  client ne r  pond pas pour reprise rdv/DAE NA/Non   ligible au DAE\"
"IQPFTH","299174549","22770433","","DMS","/DMS/#PTO_non existante#/Passage du c cble en souterrain 50 metres puis Passage de c cbles dans le salon a la demande du client. Mutation pb pt999673 Tube rouge fibre bleu Pm t5/c08 Decharge : A657179/DAE OK/","","\"
"IQPFTH","297705491","22837564","","","","",""
"IQPFTH","297053803","22770439","","DMS","/DMS/#PTO_non existante#/Passage de c cble en aero souterrain pto au tableau de brassage vu avec le client /DAE OK/","","\"
"IQPFTH","297705493","22837570","","","","",""
"IQPFTH","296612264","22837590","","","","",""
"IQPFTH","296143839","22770478","","DMS","/DMS/#PTO_non existante#/Pose 150 m c cbles + pos jrt au pmz + pos pto dans le salon a la demande du client activ internet tok /DAE OK/","","\"
"IQPFTH","297084348","22770482","","DMS","/DMS/#PTO_non existante#/Intervention ok   passage de c cble en aerien pto au salon vu avec le client ( impossible d c ins rer photos sur mobi ins rer dans pieces jointes ) /DAE OK/","","\$GM$rdv repris pour le 03/05 a partir de 08h00 AM\"
"IQSFTH","297133807","22770484","","DMS","/DMS/#PTO_non existante#/Tout ok chez client passage de cable en fourreau kit 30 m passe le client a la prise optique ou il le souhaite ras Decharge : J758965/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\/GEM/#LITIGE: AB-Client absent#/Client absent recontactera  le service client pour un nouveau rdv p/DAE NA/Non eligible au DAE\$GM$ RV// Obtenu client au 0675475539 le 25/04  a 11:20   RDV repris pour le 02/05 a partir de 10:00  $APHB$\"
"IQPFTH","297706488","22837623","","","","",""
"IQPFTH","223302554","22770495","","DMS","/DMS/#PTO_non existante#/Pavillon fa ade 100m delc ok /DAE OK/","","\"
"IQSFTH","299719804","22703378","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Reprise PTO au PB 500 tube rouge fibre jaune MB-1161-1028 C t op- slot#5/F 02 C t client- slot#3/A02 A651382 Test ont OK /DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ LO a reprendre Laisse MEVO au  19/04  pour reprendre nouveau RDV $APle$ /GEM/#Litige: RF - Rendez-vous non honore Orange#/J'ai pas peut me rendre ou rendez-vous pour des raisons de sant  /DAE NA/Non   ligible au DAE\$GM$Obtenu clt le 19/04 au 0671423647 repris rdv le 21/04 a partir de 08h $APAN$ \$GM$ RV/ Obtenu client au 0671423647 le 21/04 rdv repris pour le 27/04 a partir de 10h $APAA$\"
"IQPFTH","297495269","22770521","","DMS","/DMS/#PTO_non existante#/Installation complete en aerien Passage de c cble en a ro souterrain Pto au tableau telecom vu avec le client /DAE OK/","","\\$GM$client injoignable msg laisse pour reprise de rdv  AM\$GM$rdv repris pour le 03/05 a partir de 13h00 AM\"
"IQPFTH","299554213","22770547","","DMS","/DMS/#PTO_non existante#/Raccordement en souterrain OK  ONT OK Pas de signal GPS sur site  photo en PJ PDA/DAE OK/","","\"
"IQPFTH","298755692","22703439","","TVC","$GM$ Laisse mevo au 0669060752 le 29/03 a 18h30 pour reprendre nouveau RDV des TVC fini $APSP$ /GEM//Le client vas poser une gaine et rappellera pour reprendre rendez-vous /DAE NA/Non eligible au DAE Suites a plusieurs relances au 06690","","\\$GM$ Laisse mevo au 0669060752 le 29/03 a 18h30 pour reprendre nouveau RDV des TVC fini $APSP$ /GEM/#LITIGE: CP-Travaux sur conduite privative#/Le client vas poser une gaine et rappellera pour reprendre rendez-vous /DAE NA/Non eligible au DAE\$GM$ Laisse mevo au 0669060752 le 29/03 a 18h30 pour reprendre nouveau RDV des TVC fini $APSP$ /GEM/#LITIGE: CP-Travaux sur conduite privative#/Le client vas poser une gaine et rappellera pour reprendre rendez-vous /DAE NA/Non eligible au DAE\\"
"IQPFTH","299712576","22770584","","DMS","/DMS/#PTO_non existante#/Installation aerien complete complexe ok PTO pose dans le bureau a la demande de client /DAE OK/","","\"
"IQPFTH","296401085","22770586","","DMS","/DMS/#PTO_non existante#/Maison individuelle cable aerien 100m 1 fo pmz ok $XXXXXX@XXX.XX$/DAE OK/","","\\$GM$ LO Laisse mevo au  le 05/05 pour reprise de rdv $APAF$  /GEM/#Litige: RF - Rendez-vous non honore Orange#/Manque de temps /DAE NA/Non eligible au DAE\$GM$ RV// Obtenu client au 0677552911 le 06/05  a 10:12   RDV repris pour le 08/05 a partir de 10:00  $APHB$\"
"IQLFTH","299142426","22770605","","DMS","Installation conforme passage de cables en apparent tout est fonctionnel chez le client Se n est pas moi qui a perturber le client il n est pas sur le meme pb que moi j ai essayer de le retablir au PM y reste perturber","","\"
"IQLFTH","297130599","22770622","","RMC","Suite a plusieurs relances aucun retour de la part du clt  laisse mevo le 03/05 clt doit recontacter son operateur $APIL$ /GEM//Le client ne repond pas au telephone /DAE NA/Non eligible au DAE","","\\/GEM/#LITIGE: AB-Client absent#/Le client ne repond pas au telephone /DAE NA/Non eligible au DAE\"
"IQLFTH","297787688","22837756","","","","",""
"IQCFTH","298525047","22837757","","","","",""
"IQSFTH","297783257","22837758","","","","",""
"IQSFTH","223282430","22837759","","","","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.",""
"IQPFTH","298151192","22770663","","DMS","/DMS/#PTO_non existante#/Passage en souterrain  raccordement fa  ade remontee en fa ade  pose pto a l c tage /DAE OK/","","\\$GM$ AB Laisse MEVO au 0672108339  le  22/04  a 09H35 pour reprendre nouveau RDV / $APAF$ Cilent il etait pas sur place je appelle ca passe pas \$GM$ RV Obtenu client le 22/04 a 12h09 sur le 33672108339 . Rdv repris pour le 27/04 a partir de 10h. NE PAS APPELER CAR LE CLIENT N'A PAS DE R SEAU  ALLER SUR PLACE DIRECTEMENT $APSP$\"
"IQPFTH","298170723","22770665","","DMS","/DMS/#PTO_non existante#/Installation complete realiser en aerien test ok/DAE OK/","","\"
"IQPFTH","299883661","22770696","","DMS","/DMS/#PTO_non existante#/Installation conforme passage de cables en souterrain tout est fonctionnel chez le client /DAE OK/","","\\$GM$ CP  laisse  mevo  au  0784315723 le  21/04 a 16H29 pour reprendre nouveau RDV des TVC fini / $APAF$  Les fourreau sont boucher \$GM$ Suite rappel client ce jour le 24/04 a 10h48 prise de rdv le 27/04 en marge matin a partir de 10h \"
"IQSFTH","299176365","22837834","","","","",""
"IQPFTH","299174793","22770737","","DMS","/DMS/#PTO_non existante#/installation aerienne ok passage en souterrain du garage au poteau et sur un poteau a l ext rieur 100m de c cbles pto installer dans salon la demande du client service sont ok /DAE OK/","","\"
"IQPFTH","298170827","22770763","","TVC","Gaine bouchee client ne veux pas faire les travaux","","\\"
"IQPFTH","297817823","22770825","","RMF","Apres plusieurs relances pas de retour client doit recontacter son OPT $APBF$","","\\$GM$  INTER A CLOTURER\$GM$ Laisse MEVO au 0618964917 le 26/04 a 11h49 pour reprise de RDV / $APTE$\"
"IQPFTH","296148154","22770834","","DMS","/DMS/#PTO_non existante#/120 metre de cable pose pto dlec ok/DAE OK/","","\"
"IQPFTH","299163299","22837967","","","","",""
"IQPFTH","296417293","22837972","","","","",""
"IQPFTH","296612384","22837974","","","","",""
"IQLFTH","298905216","22837980","","","","",""
"IQPFTH","299174879","22770885","","DMS","/DMS/#PTO_non existante#/Raccordement en aerien OK  ONT OK/DAE OK/","","\"
"IQCFTH","298255006","22838033","","","","",""
"IQPFTH","298192764","22770922","","DMS","/DMS/#PTO_non existante#/Racc aerosout Tout est ok Pto salon 2 poteaux 200m/DAE OK/","","\"
"IQPFTH","299888117","22770957","","DMS","/DMS/#PTO_non existante#/Installation realisee en aerien 100m de cable poser PTO dans le salon a la demande du client /DAE OK/","","\\Rdv reprit pour le mercredi 03/05 a 14h\"
"IQPFTH","298525066","22838087","","","","",""
"IQSFTH","298536011","22770960","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/BPI-2903927-002 tube vert fibre rouge porte droite tat2 E7 la decharge EMUT_SFOR_20230505194117_0 tout est fonctions chez le client signal -20 plp ok/DAE KO/Oj","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\\$GM$ RDV REPRIS POUR LE 28/04 ENTRE 16H ET 18H \$GM$ RDV LE 05/05 ENTRE 16H ET 18H\$GM$ INTERVENTION EN COURS\"
"IQPFTH","298520327","22838090","","","","",""
"IQPFTH","298095012","22770977","","RMC","suite rdv loupe par client  client n as pas appeler pour prendre rdv dossier hors delai","","\\$GM$  INTERVENTION EN COURS\"
"IQPFTH","223371067","22771018","","ORT","/ORT// ?chec de prod cause PM vandalis /DAE NA/Non ligible au DAE","","\\$GM$BESOIN CODE DECHARGE \\"
"IQPFTH","297085316","22771022","","DMS","/DMS/#PTO_non existante#/Intervention OK passage de c cble en aerien prise pos a la demande de l abonn s internet OK service ok /DAE OK/","","\"
"IQPFTH","299716490","22771023","","DMS","/DMS/#PTO_non existante#/Installation de la fibre optique dans le salon a la demande de client contr le qualit effectu /DAE OK/","","\"
"IQPFTH","296229378","22771038","","DMS","/DMS/#PTO_non existante#/Passage c cble en aerien pose prise PTO au choix de client brassage pm test OK /DAE OK/","","\\$GM$ LO Rdv repris avec le client pour le 05/05/23 a 8h\"
"IQPFTH","298939068","22771041","","DMS","/DMS/#PTO_non existante#/Racc aerien 50 m c cble fibre plus pose pto au salon a la demande de client tout ok /DAE OK/","","\"
"IQPFTH","298740204","22771048","","DMS","/DMS/#PTO_non existante#/Tirage de cable 80m pose pto tout est ok /DAE OK/","","\"
"IQPFTH","223449401","22771071","","DMS","/DMS/#PTO_non existante#/Installation aerienne ok test e ok. PTo pos e dans le bureau a la demande du client. /DAE OK/","","\\$GM$ CP  laisse  mevo  au  0609519204 le  21/04 a 09H36 pour reprendre nouveau RDV des TVC fini / $APAF$   /GEM/#LITIGE: CP-Travaux sur conduite privative#/Fourreau bouche en partie privative le client va creuser ou point de blocage /DAE NA/Non eligible au DAE\"
"IQPFTH","223087389","22771073","","DMS","/DMS/#PTO_non existante#/Racc aerien 30 m c ? cble fibre plus pose pto au salon a la demande de client tout ok /DAE OK/","","\"
"IQPFTH","299174981","22771078","","DMS","/DMS/#PTO_non existante#/Installation aerien ok PTO pos dans le bureau a la demande du client /DAE OK/","","\"
"IQPFTH","297015503","22771082","","DMS","/DMS/#PTO_non existante#/Mohand ok raccordement pavillon en aerien pto pos au salon a la demande du client val pm-17 Val pto-18 delc ok /DAE OK/","","\"
"IQPFTH","298939923","22771099","","DMS","/DMS/#PTO_non existante#/Racc aerien ok Pto salon Tout est ok 2 poteaux /DAE OK/","","\"
"IQPFTH","299149319","22838235","","","","",""
"IQPFTH","297498138","22838236","","","","",""
"IQPFTH","299149320","22838245","","","","",""
"IQPFTH","296149005","22771118","","DMS","/DMS/#PTO_non existante#/Pavillon souterrain 100m 1fo pose PTO /DAE OK/","","\"
"IQPFTH","299149326","22838253","","","","",""
"IQPFTH","223252017","22704021","","TVC","RELANCE // Obtenu clt le 27/04  na a pas encore de disponibilites  devra recontacter son opt $APIL$ $GM$ CP MAIL CA TVC /GEM//Arrive principale encastr derriere le placard /DAE NA/Non ligible au DAE","","\\$GM$ CP MAIL CA TVC   /GEM/#LITIGE: CP-Travaux sur conduite privative#/Arrive principale encastr   derriere le placard /DAE NA/Non   ligible au DAE\$GM$/GEM/#LITIGE: CP-Travaux sur conduite privative#/Arrive principale encastr   derriere le placard /DAE NA/Non   ligible au DAE \\"
"IQSFTH","296944804","22838284","","","","",""
"IQPFTH","299149327","22838285","","","","",""
"IQCFTH","299142427","22771162","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp immeuble. Installation conforme. Delc ok. Passage de la jarretiere au PMI. Bloc op rateur nouvelle position connecteur 32 D charge J724214/DAE OK/","","\\$GM$ CP Pas d'acces au local technique qui est ferme a cle. Le client fera le necessaire pour le prochain rdv. Il contactera la CA quand il saura ou et quand il pourra avoir les cles du local.\$GM$ Obtenu client au 0767514978 le 21/04 rdv repris pour le 27/04 a partir de 14h $APAA$\"
"IQLFTH","223373012","22771182","","ORT","/ORT//Probleme de continuit /DAE NA/Non ligible au DAE","","\\"
"IQPFTH","296302375","22771185","","DMS","/DMS/#PTO_non existante#/Pose 70m de c cble + pose pto Delc ok/DAE OK/","","\"
"IQPFTH","223087544","22771194","","DMS","/DMS/#PTO_non existante#/Racc aerien 50 m c cble fibre plus pose pto au salon a la demande de client tout ok /DAE OK/","","\"
"IQCFTH","223300034","22771208","","ANN","/ANN-CLI//ANN//Cliient a annule le rendez vous /DAE NA/Non ligible au DAE","","\\"
"IQPFTH","298741775","22771210","","DMS","/DMS/#PTO_non existante#/Passer jrt au pm Pose 1portee c cble 1fo Pose pto /DAE OK/","","\"
"IQPFTH","297135951","22771213","","DMS","/DMS/#PTO_non existante#/Installation FTTH pavillon en aerien sur 70 m ok /DAE OK/","","\\$GM$ LO  Laisse MEVO au  0688868686  le  24/04  a 15H23 pour reprendre nouveau RDV / $APAF$ \$GM$ Obtenu M. Le nezet au 0688868686 le 24/04 a 15h44   repris RDV le 29/04 entre 10h   14h / $APTE$\"
"IQPFTH","299173576","22771241","","DMS","/DMS/#PTO_non existante#/Installation aerien ok PTO pos dans le compteur lectrique a la demande du client /DAE OK/","","\"
"IQPFTH","298193792","22771317","","ORT","/ORT// ?tude a fejre suite manque gc c t orange car gaine avent passe en ds et maintenant faut la relier avec le r seau fibre megalis /DAE NA/Non ligible au DAE","","\\Rendez-vous repris pour le mardi 09 05 2023 a partir de 8h \\"
"IQPFTH","296313629","22838453","","","","",""
"IQCFTH","298250804","22771334","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/Pose jrt au pm test ok livebox ok $XXXXXX@XXX.XX$/DAE OK/","","\\$GM$ Lo Obtenu client le 22/04 a 10h41 rdv repris pour le 27/04 entre 14h et 17h $APCG$\"
"IQSFTH","299164512","22838463","","","","",""
"IQPFTH","296851201","22771346","","DMS","/DMS/#PTO_non existante#/Installation complete realiser en souterrain Passage vu et valider par le client test ok /DAE OK/","","\"
"IQPFTH","298192037","22771366","","DMS","/DMS/#PTO_non existante#/Racc aerien ok Pto salon Tout est ok 3 poteaux /DAE JU/Ok","","\\$GM$ CP Laisse mevo le 04/05 au pour les travaux a realiser et nous recontactera pour reprendre rdv des travaux finis. $APAF$ Travaux clients arrivee Telecom dans vide sanitaire le client va faire le necessaire et rappellera la CA pour reprendre un nouveau rendez-vous \$GM$ Obtenu M. Josse au 0669122802 le 05/05 a 08h24   repris RDV le 10/05 entre 14h   18h / $APTE$\"
"IQPFTH","297085642","22771376","","DMS","/DMS/#PTO_non existante#/Tout et ok passage souterrain pto ok pb ok /DAE OK/","","\"
"IQSFTH","223282346","22838522","","","","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.",""
"IQPFTH","299555680","22771413","","DMS","/DMS/#PTO_non existante#/Installation terminee au soutirane 100m de c cble pto dans le garage a la demande de client /DAE OK/","","\"
"IQPFTH","297452197","22838543","","","","",""
"IQPFTH","296365657","22771427","","","","",""
"IQPFTH","296463426","22838563","","","","",""
